Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink16:51:44.174000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
16:53:58.045000 Conn: 0000 Handle: 0002  Values: d900000000000000000000000000000000001a00
16:53:58.400000 Conn: 0001 Handle: 0002  Values: d900000000000000000000000000000000001a00
16:53:59.043000 Conn: 0000 Handle: 0001  Values: dc00000000000000000000000000000000008100
16:53:59.397000 Conn: 0001 Handle: 0001  Values: dc00000000000000000000000000000000008100
16:54:00.042000 Conn: 0000 Handle: 0003  Values: dc00000000000000000000000000000000004100
16:54:00.403000 Conn: 0001 Handle: 0003  Values: dc00000000000000000000000000000000004100
16:54:01.050000 Conn: 0000 Handle: 0001  Values: e000000000000000000000000000000000008300
16:54:01.397000 Conn: 0001 Handle: 0001  Values: e000000000000000000000000000000000008300
16:54:02.043000 Conn: 0000 Handle: 0002  Values: e000000000000000000000000000000000001b00
16:54:02.402000 Conn: 0001 Handle: 0002  Values: e000000000000000000000000000000000001b00
16:54:03.050000 Conn: 0000 Handle: 0001  Values: e400000000000000000000000000000000008600
16:54:03.401000 Conn: 0001 Handle: 0001  Values: e300000000000000000000000000000000008500
16:54:04.050000 Conn: 0000 Handle: 0003  Values: e400000000000000000000000000000000004300
16:54:04.403000 Conn: 0001 Handle: 0003  Values: e300000000000000000000000000000000004300
16:54:05.044000 Conn: 0000 Handle: 0005  Values: e600000000000000000000000000000000000a00
16:54:05.404000 Conn: 0001 Handle: 0001  Values: e600000000000000000000000000000000008700
16:54:06.049000 Conn: 0000 Handle: 0001  Values: e600000000000000000000000000000000008700
16:54:06.402000 Conn: 0001 Handle: 0003  Values: e600000000000000000000000000000000004400
16:54:06.676000  SCAN CMD
16:54:07.042000 Conn: 0000 Handle: 0001  Values: ea00000000000000000000000000000000008900
16:54:07.403000 Conn: 0001 Handle: 0001  Values: ea00000000000000000000000000000000008900
16:54:08.047000 Conn: 0000 Handle: 0002  Values: ea00000000000000000000000000000000001c00
16:54:08.405000 Conn: 0001 Handle: 0002  Values: ea00000000000000000000000000000000001c00
16:54:09.047000 Conn: 0000 Handle: 0001  Values: ed00000000000000000000000000000000008b00
16:54:09.401000 Conn: 0001 Handle: 0001  Values: ed00000000000000000000000000000000008b00
16:54:10.049000 Conn: 0000 Handle: 0003  Values: ed00000000000000000000000000000000004600
