Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink17:03:23.560000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
17:04:21.139000 Conn: 0000 Handle: 0001  Values: 5900000000000000000000000000000000003400
17:04:21.844000 Conn: 0001 Handle: 0002  Values: 5900000000000000000000000000000000000b00
17:04:22.140000 Conn: 0000 Handle: 0002  Values: 5900000000000000000000000000000000000b00
17:04:22.837000 Conn: 0001 Handle: 0001  Values: 6000000000000000000000000000000000003800
17:04:23.140000 Conn: 0000 Handle: 0001  Values: 5c00000000000000000000000000000000003600
17:04:23.838000 Conn: 0001 Handle: 0002  Values: 6000000000000000000000000000000000000c00
17:04:24.134000 Conn: 0000 Handle: 0003  Values: 5c00000000000000000000000000000000001b00
17:04:24.843000 Conn: 0001 Handle: 0003  Values: 6000000000000000000000000000000000001c00
17:04:25.136000 Conn: 0000 Handle: 0005  Values: 5e00000000000000000000000000000000000a00
17:04:25.843000 Conn: 000117:04:25.856000  Handle: SCAN CMD 
0001  Values: 6300000000000000000000000000000000003a00
17:04:26.137000 Conn: 0000 Handle: 0001  Values: 6200000000000000000000000000000000003900
17:04:26.844000 Conn: 0001 Handle: 0003  Values: 6300000000000000000000000000000000001d00
17:04:27.139000 Conn: 0000 Handle: 0002  Values: 6200000000000000000000000000000000000c00
17:04:27.838000 Conn: 0001 Handle: 0001  Values: 6600000000000000000000000000000000003c00
17:04:28.140000 Conn: 0000 Handle: 0001  Values: 6500000000000000000000000000000000003b00
17:04:28.843000 Conn: 0001 Handle: 0003  Values: 6600000000000000000000000000000000001e00
17:04:29.136000 Conn: 0000 Handle: 0003  Values: 6500000000000000000000000000000000001e00
17:04:29.839000 Conn: 0001 Handle: 0001  Values: 6a00000000000000000000000000000000003e00
17:04:30.135000 Conn: 0000 Handle: 0001  Values: 6900000000000000000000000000000000003d00
17:04:30.843000 Conn: 0001 Handle: 0002  Values: 6a00000000000000000000000000000000000d00
17:04:31.140000 Conn: 0000 Handle: 0002  Values: 6900000000000000000000000000000000000d00
17:04:31.846000 Conn: 0001 Handle: 0003  Values: 6a00000000000000000000000000000000001f00
17:04:32.140000 Conn: 0000 Handle: 0001  Values: 6d00000000000000000000000000000000004000
17:04:32.840000 Conn: 0001 Handle: 0001  Values: 6d00000000000000000000000000000000004000
17:04:33.135000 Conn: 0000 Handle: 0003  Values: 6d00000000000000000000000000000000002000
17:04:33.842000 Conn: 0001 Handle: 0003  Values: 6d00000000000000000000000000000000002000
17:04:34.137000 Conn: 0000 Handle: 0005  Values: 6f00000000000000000000000000000000000a00
17:04:34.844000 Conn: 0001 Handle: 0001  Values: 7100000000000000000000000000000000004200
17:04:35.141000 Conn: 0000 Handle: 0001  Values: 6f00000000000000000000000000000000004100
17:04:35.840000 Conn: 0001 Handle: 0002  Values: 7100000000000000000000000000000000000e00
17:04:35.881000  SCAN CMD
17:04:36.136000 Conn: 0000 Handle: 0001  Values: 7300000000000000000000000000000000004300
17:04:36.843000 Conn: 0001 Handle: 0001  Values: 7400000000000000000000000000000000004400
17:04:37.138000 Conn: 0000 Handle: 0002  Values: 7300000000000000000000000000000000000e00
17:04:37.845000 Conn: 0001 Handle: 0003  Values: 7400000000000000000000000000000000002200
17:04:38.142000 Conn: 0000 Handle: 0001  Values: 7600000000000000000000000000000000004500
17:04:38.841000 Conn: 0001 Handle: 0001  Values: 7700000000000000000000000000000000004600
17:04:39.135000 Conn: 0000 Handle: 0003  Values: 7600000000000000000000000000000000002300
17:04:39.840000 Conn: 0001 Handle: 0003  Values: 7700000000000000000000000000000000002300
17:04:40.142000 Conn: 0000 Handle: 0001  Values: 7a00000000000000000000000000000000004700
17:04:40.845000 Conn: 0001 Handle: 0001  Values: 7b00000000000000000000000000000000004800
17:04:41.133000 Conn: 0000 Handle: 0002  Values: 7a00000000000000000000000000000000000f00
17:04:41.839000 Conn: 0001 Handle: 0002  Values: 7b00000000000000000000000000000000000f00
