Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink19:47:39.734000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
19:48:17.564000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:17.971000 Conn: 0001 Handle: 0001  Values: 4100000000000000000000000000000000002600
19:48:18.464000 Conn: 0000 Handle: 0001  Values: 4300000000000000000000000000000000002700
19:48:18.565000 Conn: 0001 Handle: 0001  Values: 4300000000000000000000000000000000002700
19:48:18.763000 Conn: 0000 Handle: 0003  Values: 4300000000000000000000000000000000001400
19:48:18.871000 Conn: 0001 Handle: 0003  Values: 4300000000000000000000000000000000001400
19:48:19.660000 Conn: 0000 Handle: 0001  Values: 4400000000000000000000000000000000002800
19:48:19.77200019:48:19.777000  Conn: SCAN CMD 
0001 Handle: 0001  Values: 4400000000000000000000000000000000002800
19:48:20.361000 Conn: 0001 Handle: 0001  Values: 4700000000000000000000000000000000002900
19:48:20.674000 Conn: 0001 Handle: 0002  Values: 4700000000000000000000000000000000000900
19:48:20.858000 Conn: 0000 Handle: 0001  Values: 4700000000000000000000000000000000002900
19:48:20.972000 Conn: 0001 Handle: 0003  Values: 4700000000000000000000000000000000001500
19:48:21.159000 Conn: 0000 Handle: 0002  Values: 4700000000000000000000000000000000000900
19:48:21.274000 Conn: 0001 Handle: 0001  Values: 4800000000000000000000000000000000002a00
19:48:21.458000 Conn: 0000 Handle: 0003  Values: 4700000000000000000000000000000000001500
19:48:21.761000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:22.058000 Conn: 0000 Handle: 0001  Values: 4800000000000000000000000000000000002a00
19:48:22.360000 Conn: 0000 Handle: 0001  Values: 4a00000000000000000000000000000000002b00
19:48:22.465000 Conn: 0001 Handle: 0001  Values: 4a00000000000000000000000000000000002b00
19:48:22.660000 Conn: 0000 Handle: 0003  Values: 4a00000000000000000000000000000000001600
19:48:22.762000 Conn: 0001 Handle: 0003  Values: 4a00000000000000000000000000000000001600
19:48:23.063000  SCAN CMD
19:48:23.672000 Conn: 0001 Handle: 0001  Values: 4b00000000000000000000000000000000002c00
19:48:24.166000 Conn: 0000 Handle: 0001  Values: 4b00000000000000000000000000000000002c00
19:48:24.462000 Conn: 0000 Handle: 0001  Values: 4d00000000000000000000000000000000002d00
19:48:24.564000 Conn: 0001 Handle: 0001  Values: 4d00000000000000000000000000000000002d00
19:48:24.757000 Conn: 0000 Handle: 0003  Values: 4d00000000000000000000000000000000001700
19:48:24.874000 Conn: 0001 Handle: 0003  Values: 4d00000000000000000000000000000000001700
19:48:25.063000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:25.664000 Conn: 0000 Handle: 0001  Values: 4f00000000000000000000000000000000002e00
19:48:25.769000 Conn: 0001 Handle: 0001  Values: 4f00000000000000000000000000000000002e00
19:48:25.957000 Conn: 0000 Handle: 0002  Values: 4f00000000000000000000000000000000000a00
19:48:26.062000 Conn: 0001 Handle: 0002  Values: 4f00000000000000000000000000000000000a00
19:48:26.261000 Conn: 0000 Handle: 0001  Values: 5100000000000000000000000000000000002f00
19:48:26.37000019:48:26.373000   SCAN CMDConn:
 0001 Handle: 0001  Values: 5100000000000000000000000000000000002f00
19:48:26.557000 Conn: 0000 Handle: 0003  Values: 5100000000000000000000000000000000001800
19:48:26.666000 Conn: 0001 Handle: 0003  Values: 5100000000000000000000000000000000001800
19:48:27.270000 Conn: 0001 Handle: 0001  Values: 5200000000000000000000000000000000003000
19:48:27.461000 Conn: 0000 Handle: 0001  Values: 5200000000000000000000000000000000003000
19:48:27.758000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:28.471000 Conn: 0001 Handle: 0001  Values: 5400000000000000000000000000000000003100
19:48:28.662000 Conn: 0000 Handle: 0001  Values: 5400000000000000000000000000000000003100
19:48:28.763000 Conn: 0001 Handle: 0003  Values: 5400000000000000000000000000000000001900
19:48:28.964000 Conn: 0000 Handle: 0003  Values: 5400000000000000000000000000000000001900
19:48:29.64700019:48:29.664000   SCAN CMDConn:
 0001 Handle: 0001  Values: 5500000000000000000000000000000000003200
19:48:29.863000 Conn: 0000 Handle: 0001  Values: 5500000000000000000000000000000000003200
19:48:30.566000 Conn: 0001 Handle: 0001  Values: 5800000000000000000000000000000000003300
19:48:30.761000 Conn: 0000 Handle: 0001  Values: 5800000000000000000000000000000000003300
19:48:30.863000 Conn: 0001 Handle: 0002  Values: 5800000000000000000000000000000000000b00
19:48:31.063000 Conn: 0000 Handle: 0002  Values: 5800000000000000000000000000000000000b00
19:48:31.168000 Conn: 0001 Handle: 0003  Values: 5800000000000000000000000000000000001a00
19:48:31.368000 Conn: 0000 Handle: 0003  Values: 5800000000000000000000000000000000001a00
19:48:31.658000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:31.766000 Conn: 0001 Handle: 0001  Values: 5900000000000000000000000000000000003400
19:48:31.961000 Conn: 0000 Handle: 0001  Values: 5900000000000000000000000000000000003400
19:48:32.365000 Conn: 0001 Handle: 0001  Values: 5b00000000000000000000000000000000003500
19:48:32.562000 Conn: 0000 Handle: 0001  Values: 5b00000000000000000000000000000000003500
19:48:32.664000 Conn: 0001 Handle: 0003  Values: 5b00000000000000000000000000000000001b00
19:48:32.860000 Conn: 0000 Handle: 0003  Values: 5b00000000000000000000000000000000001b00
19:48:32.946000  SCAN CMD
19:48:33.873000 Conn: 0001 Handle: 0001  Values: 5c00000000000000000000000000000000003600
19:48:34.063000 Conn: 0000 Handle: 0001  Values: 5c00000000000000000000000000000000003600
19:48:34.368000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:34.469000 Conn: 0001 Handle: 0001  Values: 5e00000000000000000000000000000000003700
19:48:34.664000 Conn: 0000 Handle: 0001  Values: 5e00000000000000000000000000000000003700
19:48:34.772000 Conn: 0001 Handle: 0003  Values: 5e00000000000000000000000000000000001c00
19:48:34.965000 Conn: 0000 Handle: 0003  Values: 5e00000000000000000000000000000000001c00
19:48:35.260000 Conn: 0000 Handle: 0002  Values: 5f00000000000000000000000000000000000c00
19:48:35.665000 Conn: 0001 Handle: 0001  Values: 6000000000000000000000000000000000003800
19:48:35.866000 Conn: 0000 Handle: 0001  Values: 6000000000000000000000000000000000003800
19:48:35.973000 Conn: 0001 Handle: 0002  Values: 6000000000000000000000000000000000000c00
19:48:36.21200019:48:36.269000   SCAN CMDConn:
 0001 Handle: 0001  Values: 6200000000000000000000000000000000003900
19:48:36.461000 Conn: 0000 Handle: 0001  Values: 6200000000000000000000000000000000003900
19:48:36.570000 Conn: 0001 Handle: 0003  Values: 6200000000000000000000000000000000001d00
19:48:36.764000 Conn: 0000 Handle: 0003  Values: 6200000000000000000000000000000000001d00
19:48:37.369000 Conn: 0000 Handle: 0001  Values: 6300000000000000000000000000000000003a00
19:48:37.661000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:38.070000 Conn: 0001 Handle: 0001  Values: 6300000000000000000000000000000000003a00
19:48:38.371000 Conn: 0001 Handle: 0001  Values: 6500000000000000000000000000000000003b00
19:48:38.559000 Conn: 0000 Handle: 0001  Values: 6500000000000000000000000000000000003b00
19:48:38.672000 Conn: 0001 Handle: 0003  Values: 6500000000000000000000000000000000001e00
19:48:38.860000 Conn: 0000 Handle: 0003  Values: 6500000000000000000000000000000000001e00
19:48:39.541000  SCAN CMD
19:48:39.566000 Conn: 0001 Handle: 0001  Values: 6600000000000000000000000000000000003c00
19:48:39.759000 Conn: 0000 Handle: 0001  Values: 6600000000000000000000000000000000003c00
19:48:40.468000 Conn: 0001 Handle: 0001  Values: 6900000000000000000000000000000000003d00
19:48:40.662000 Conn: 0000 Handle: 0001  Values: 6900000000000000000000000000000000003d00
19:48:40.771000 Conn: 0001 Handle: 0002  Values: 6900000000000000000000000000000000000d00
19:48:40.960000 Conn: 0000 Handle: 0002  Values: 6900000000000000000000000000000000000d00
19:48:41.069000 Conn: 0001 Handle: 0003  Values: 6900000000000000000000000000000000001f00
19:48:41.264000 Conn: 0000 Handle: 0003  Values: 6900000000000000000000000000000000001f00
19:48:41.566000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:41.664000 Conn: 0001 Handle: 0001  Values: 6a00000000000000000000000000000000003e00
19:48:41.861000 Conn: 0000 Handle: 0001  Values: 6a00000000000000000000000000000000003e00
19:48:42.264000 Conn: 0001 Handle: 0001  Values: 6c00000000000000000000000000000000003f00
19:48:42.462000 Conn: 0000 Handle: 0001  Values: 6c00000000000000000000000000000000003f00
19:48:42.572000 Conn: 0001 Handle: 0003  Values: 6c00000000000000000000000000000000002000
19:48:42.762000 Conn: 0000 Handle: 0003  Values: 6c00000000000000000000000000000000002000
19:48:42.812000  SCAN CMD
19:48:43.963000 Conn: 0000 Handle: 0001  Values: 6d00000000000000000000000000000000004000
19:48:44.068000 Conn: 0001 Handle: 0001  Values: 6d00000000000000000000000000000000004000
19:48:44.262000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:44.373000 Conn: 0001 Handle: 0001  Values: 6f00000000000000000000000000000000004100
19:48:44.560000 Conn: 0000 Handle: 0001  Values: 6f00000000000000000000000000000000004100
19:48:44.663000 Conn: 0001 Handle: 0003  Values: 6f00000000000000000000000000000000002100
19:48:44.862000 Conn: 0000 Handle: 0003  Values: 6f00000000000000000000000000000000002100
19:48:45.160000 Conn: 0000 Handle: 0002  Values: 7000000000000000000000000000000000000e00
19:48:45.574000 Conn: 0001 Handle: 0001  Values: 7100000000000000000000000000000000004200
19:48:45.868000 Conn: 0001 Handle: 0002  Values: 7100000000000000000000000000000000000e00
19:48:46.06200019:48:46.073000  Conn: SCAN CMD 
0000 Handle: 0001  Values: 7100000000000000000000000000000000004200
19:48:46.665000 Conn: 0000 Handle: 0001  Values: 7300000000000000000000000000000000004300
19:48:46.967000 Conn: 0000 Handle: 0003  Values: 7300000000000000000000000000000000002200
19:48:47.065000 Conn: 0001 Handle: 0001  Values: 7300000000000000000000000000000000004300
19:48:47.371000 Conn: 0001 Handle: 0003  Values: 7300000000000000000000000000000000002200
19:48:47.671000 Conn: 0001 Handle: 0001  Values: 7400000000000000000000000000000000004400
19:48:47.867000 Conn: 0000 Handle: 0001  Values: 7400000000000000000000000000000000004400
19:48:48.159000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
